name,year,magnitude,focal_depth,damage
"INDONESIA:  AMBON ISLAND, SERAM ISLAND",1674,6.8,40.0,35.0
CUBA:  SANTIAGO DE CUBA,1766,6.8,25.0,700.0
"PHILIPPINES:  S COAST LUZON:  PASIG RIVER,PAMPANGA",1880,7.5,100.0,50.0
JAPAN:  OFF COAST OF HONSHU,1894,7.9,40.0,6.0
CHINA:  XINJIANG PROVINCE:  KASHGAR,1896,6.6,25.0,5.0
AZERBAIJAN:  SEMACHA; N IRAN,1902,6.9,15.0,60.0
"ITALY:  MONTELEONE, TROPEA, MONTE PORO",1905,7.1,15.0,2000.0
MEXICO:  MICHOACAN,1911,7.9,11.0,22.0
TURKEY:  MARMARA SEA,1912,7.8,60.0,1575.0
CHINA:  YUNNAN PROVINCE,1913,7.0,10.0,112.0
INDONESIA:  SUMATERA,1914,7.6,35.0,20.0
"JAPAN:  TOKYO, YOKOHAMA",1923,7.9,35.0,47000.0
JAPAN:  HONSHU:  SW,1927,7.3,10.0,3295.0
CHINA:  GANSU PROVINCE,1927,7.6,27.0,524.0
UKRAINE:  CRIMEA:  SEBASTOPOL,1927,6.8,17.0,122.0
ITALY:  TOLMEZZO,1928,5.8,33.0,40.0
BULGARIA:  CHIRPAN,1928,6.8,7.0,1735.0
"ALBANIA:  VLORE, HIMARE, KUC",1930,6.0,12.0,108.0
JAPAN:  HONSHU:  IDU,1930,7.1,19.0,1285.0
NEW ZEALAND:  HAWKE BAY,1931,7.7,35.0,400.0
CHINA:  HUBEI PROVINCE,1932,6.0,15.0,27.0
MEXICO:  NEAR COAST OF JALISCO,1932,8.1,60.0,120.0
GREECE: HIERISSOS-STRANTONION (CHALKIDIKI),1932,6.9,35.0,669.0
PANAMA-COSTA RICA,1934,7.7,60.0,4.0
TAIWAN:  XIINZHU,1935,6.5,30.0,6004.0
INDONESIA:  TALAUD ISLANDS,1936,7.7,60.0,3.0
CHILE:  TALTAL,1936,7.3,60.0,40.0
PHILIPPINES:  LUZON,1937,7.5,60.0,200.0
GHANA:  ACCRA,1939,6.4,13.0,130.0
PERU,1940,8.2,60.0,3500.0
"PERU:  ICA, NAZCA",1942,8.2,60.0,25.0
"ALBANIA:  PESHKOPIA, MAGELLARE",1942,6.0,33.0,110.0
INDONESIA:   JAVA:  JOGYAKARTA,1943,8.1,90.0,2096.0
"TURKEY:  LADIK, SAMSUN, HAVZA",1943,7.6,33.0,5000.0
JAPAN:  OFF SOUTHEAST COAST KII PENINSULA,1944,8.1,30.0,2135.0
GREECE:  S:  PYLIA (MESSINIA),1947,6.9,28.0,20.0
GREECE:  VASILIKI (LEUKAS),1948,6.5,15.0,45.0
CHINA:  SICHUAN PROVINCE,1948,7.3,18.0,200.0
JAPAN:  FUKUI,1948,7.3,20.0,11000.0
"PERU:  ICA,CHIMBOTE,HUARAZ,CAJAMARCA,CUZCO,MOQUEGUA",1950,7.0,80.0,12.0
HAWAII,1951,6.9,60.0,2.0
TAIWAN,1951,7.3,21.0,586.0
"CHILE:  CHILLAN, CONCEPCION",1953,7.6,60.0,26.0
OFF COAST OF PERU,1953,7.4,30.0,20.0
GREECE:  DRAKIA-AGRIA (MAGNESIA),1955,6.2,33.0,149.0
COLOMBIA-ECUADOR,1958,7.6,60.0,46.0
INDONESIA:  JAVA:  MALANG,1958,6.7,100.0,1856.0
RUSSIA:  NEAR EAST COAST OF KAMCHATKA,1959,8.2,60.0,13.0
TAIWAN,1959,7.0,60.0,63.0
